rain_bucket_mm,predicted_speed_drop_pct,predicted_aqi_drop_pct,predicted_congestion_bump_pct,confidence_score,sample_size,trained_at
1.0,0.0,0.0,0.0,0.1,1000,2026-05-30T14:01:20.596796+00:00
2.5,0.0,0.0,0.0,0.1,1000,2026-05-30T14:01:20.596804+00:00
5.0,0.0,0.0,0.0,0.1,1000,2026-05-30T14:01:20.596809+00:00
10.0,0.0,0.0,0.0,0.1,1000,2026-05-30T14:01:20.596815+00:00
15.0,0.0,0.0,0.0,0.1,1000,2026-05-30T14:01:20.596820+00:00
20.0,0.0,0.0,0.0,0.1,1000,2026-05-30T14:01:20.596830+00:00
25.0,0.0,0.0,0.0,0.1,1000,2026-05-30T14:01:20.596845+00:00
0.0,0.0,0.0,0.0,0.1,1000,2026-06-07T17:22:42.221981+00:00
1.0,19.580297860040424,0.0,12.408989844236036,0.1,1000,2026-06-07T17:22:42.222007+00:00
2.5,19.580297860040424,0.0,12.408989844236036,0.1,1000,2026-06-07T17:22:42.222016+00:00
5.0,19.580297860040424,0.0,12.408989844236036,0.1,1000,2026-06-07T17:22:42.222023+00:00
10.0,19.580297860040424,0.0,12.408989844236036,0.1,1000,2026-06-07T17:22:42.222029+00:00
15.0,19.580297860040424,0.0,12.408989844236036,0.1,1000,2026-06-07T17:22:42.222036+00:00
20.0,19.580297860040424,0.0,12.408989844236036,0.1,1000,2026-06-07T17:22:42.222042+00:00
25.0,19.580297860040424,0.0,12.408989844236036,0.1,1000,2026-06-07T17:22:42.222062+00:00
0.0,0.0,0.0,0.0,0.1,1000,2026-06-07T17:55:31.207391+00:00
1.0,18.824895823895492,0.0,11.702276959836425,0.1,1000,2026-06-07T17:55:31.207416+00:00
2.5,18.824895823895492,0.0,11.702276959836425,0.1,1000,2026-06-07T17:55:31.207422+00:00
5.0,18.824895823895492,0.0,11.702276959836425,0.1,1000,2026-06-07T17:55:31.207427+00:00
10.0,18.824895823895492,0.0,11.702276959836425,0.1,1000,2026-06-07T17:55:31.207432+00:00
15.0,18.824895823895492,0.0,11.702276959836425,0.1,1000,2026-06-07T17:55:31.207437+00:00
20.0,18.824895823895492,0.0,11.702276959836425,0.1,1000,2026-06-07T17:55:31.207441+00:00
25.0,18.824895823895492,0.0,11.702276959836425,0.1,1000,2026-06-07T17:55:31.207454+00:00
0.0,0.0,0.0,0.0,0.1,1000,2026-06-07T20:01:22.662183+00:00
1.0,15.81080559105936,0.0,10.114854793110805,0.1,1000,2026-06-07T20:01:22.662207+00:00
2.5,15.81080559105936,0.0,10.114854793110805,0.1,1000,2026-06-07T20:01:22.662215+00:00
5.0,15.81080559105936,0.0,10.114854793110805,0.1,1000,2026-06-07T20:01:22.662222+00:00
10.0,15.81080559105936,0.0,10.114854793110805,0.1,1000,2026-06-07T20:01:22.662229+00:00
15.0,15.81080559105936,0.0,10.114854793110805,0.1,1000,2026-06-07T20:01:22.662235+00:00
20.0,15.81080559105936,0.0,10.114854793110805,0.1,1000,2026-06-07T20:01:22.662241+00:00
25.0,15.81080559105936,0.0,10.114854793110805,0.1,1000,2026-06-07T20:01:22.662257+00:00
0.0,0.0,0.0,0.0,0.1,1000,2026-06-08T04:56:04.798268+00:00
1.0,22.542768878963386,0.0,16.214037288973376,0.1,1000,2026-06-08T04:56:04.798291+00:00
2.5,22.542768878963386,0.0,16.214037288973376,0.1,1000,2026-06-08T04:56:04.798297+00:00
5.0,22.542768878963386,0.0,16.214037288973376,0.1,1000,2026-06-08T04:56:04.798302+00:00
10.0,22.542768878963386,0.0,16.214037288973376,0.1,1000,2026-06-08T04:56:04.798307+00:00
15.0,22.542768878963386,0.0,16.214037288973376,0.1,1000,2026-06-08T04:56:04.798311+00:00
20.0,22.542768878963386,0.0,16.214037288973376,0.1,1000,2026-06-08T04:56:04.798316+00:00
25.0,22.542768878963386,0.0,16.214037288973376,0.1,1000,2026-06-08T04:56:04.798329+00:00
0.0,0.0,0.0,0.0,0.1,1000,2026-06-09T20:01:29.906350+00:00
1.0,10.384816132352853,0.0,7.014315695836842,0.1,1000,2026-06-09T20:01:29.906377+00:00
2.5,19.632913015690317,0.0,13.262254649200031,0.1,1000,2026-06-09T20:01:29.906385+00:00
5.0,19.632913015690317,0.0,13.262254649200031,0.1,1000,2026-06-09T20:01:29.906392+00:00
10.0,19.632913015690317,0.0,13.262254649200031,0.1,1000,2026-06-09T20:01:29.906398+00:00
15.0,19.632913015690317,0.0,13.262254649200031,0.1,1000,2026-06-09T20:01:29.906404+00:00
20.0,19.632913015690317,0.0,13.262254649200031,0.1,1000,2026-06-09T20:01:29.906410+00:00
25.0,19.632913015690317,0.0,13.262254649200031,0.1,1000,2026-06-09T20:01:29.906426+00:00
0.0,0.0,0.0,0.0,0.1,1000,2026-06-10T20:01:20.425933+00:00
1.0,6.786247838892369,0.622706812433662,4.404860646680582,0.1,1000,2026-06-10T20:01:20.425962+00:00
2.5,13.556145397306954,1.5567670310841313,8.80795134835536,0.1,1000,2026-06-10T20:01:20.425970+00:00
5.0,15.747376794867282,3.113534062168278,10.268568468890429,0.1,1000,2026-06-10T20:01:20.425976+00:00
10.0,15.747376794867282,6.227068124336556,10.268568468890429,0.1,1000,2026-06-10T20:01:20.425982+00:00
15.0,15.747376794867282,9.340602186504835,10.268568468890429,0.1,1000,2026-06-10T20:01:20.425988+00:00
20.0,15.747376794867282,12.454136248673112,10.268568468890429,0.1,1000,2026-06-10T20:01:20.425994+00:00
25.0,15.747376794867282,15.567670310841391,10.268568468890429,0.1,1000,2026-06-10T20:01:20.426011+00:00
0.0,0.0,0.0,0.0,0.1,1000,2026-06-11T20:01:27.027194+00:00
1.0,16.28271889452699,7.859263284800262,10.624548528828214,0.1,1000,2026-06-11T20:01:27.027219+00:00
2.5,22.492076505565656,19.64815821200065,14.883348155059814,0.1,1000,2026-06-11T20:01:27.027227+00:00
5.0,22.492076505565656,39.2963164240013,14.883348155059814,0.1,1000,2026-06-11T20:01:27.027234+00:00
10.0,22.492076505565656,78.5926328480026,14.883348155059814,0.1,1000,2026-06-11T20:01:27.027240+00:00
15.0,22.492076505565656,91.29940606955878,14.883348155059814,0.1,1000,2026-06-11T20:01:27.027246+00:00
20.0,22.492076505565656,91.29940606955878,14.883348155059814,0.1,1000,2026-06-11T20:01:27.027253+00:00
25.0,22.492076505565656,91.29940606955878,14.883348155059814,0.1,1000,2026-06-11T20:01:27.027269+00:00
0.0,0.0,0.0,0.0,0.1,1000,2026-06-12T20:01:25.109624+00:00
1.0,12.536005268016833,0.0,8.258547642142268,0.1,1000,2026-06-12T20:01:25.109656+00:00
2.5,20.40189827640222,0.0,13.424646920047607,0.1,1000,2026-06-12T20:01:25.109664+00:00
5.0,20.40189827640222,0.0,13.424646920047607,0.1,1000,2026-06-12T20:01:25.109671+00:00
10.0,20.40189827640222,0.0,13.424646920047607,0.1,1000,2026-06-12T20:01:25.109677+00:00
15.0,20.40189827640222,0.0,13.424646920047607,0.1,1000,2026-06-12T20:01:25.109684+00:00
20.0,20.40189827640222,0.0,13.424646920047607,0.1,1000,2026-06-12T20:01:25.109690+00:00
25.0,20.40189827640222,0.0,13.424646920047607,0.1,1000,2026-06-12T20:01:25.109706+00:00
0.0,0.0,0.0,0.0,0.1,1000,2026-06-13T20:01:25.240605+00:00
1.0,12.92867267885241,1.6461515691503874,8.189597956360906,0.1,1000,2026-06-13T20:01:25.240631+00:00
2.5,22.091565589765395,4.115378922875963,14.015948429212507,0.1,1000,2026-06-13T20:01:25.240638+00:00
5.0,22.091565589765395,8.230757845751938,14.015948429212507,0.1,1000,2026-06-13T20:01:25.240645+00:00
10.0,22.091565589765395,16.461515691503877,14.015948429212507,0.1,1000,2026-06-13T20:01:25.240651+00:00
15.0,22.091565589765395,24.69227353725581,14.015948429212507,0.1,1000,2026-06-13T20:01:25.240658+00:00
20.0,22.091565589765395,32.92303138300775,14.015948429212507,0.1,1000,2026-06-13T20:01:25.240664+00:00
25.0,22.091565589765395,41.15378922875968,14.015948429212507,0.1,1000,2026-06-13T20:01:25.240680+00:00
0.0,0.0,0.0,0.0,0.1,1000,2026-06-14T20:01:38.850398+00:00
1.0,10.145773540092698,5.349440383798386,6.516763718458023,0.1,1000,2026-06-14T20:01:38.850421+00:00
2.5,18.67916912610178,13.373600959495954,11.957058852857266,0.1,1000,2026-06-14T20:01:38.850429+00:00
5.0,18.67916912610178,26.74720191899192,11.957058852857266,0.1,1000,2026-06-14T20:01:38.850436+00:00
10.0,18.67916912610178,53.494403837983825,11.957058852857266,0.1,1000,2026-06-14T20:01:38.850442+00:00
15.0,18.67916912610178,80.24160575697574,11.957058852857266,0.1,1000,2026-06-14T20:01:38.850447+00:00
20.0,18.67916912610178,90.6400961243977,11.957058852857266,0.1,1000,2026-06-14T20:01:38.850454+00:00
25.0,18.67916912610178,90.6400961243977,11.957058852857266,0.1,1000,2026-06-14T20:01:38.850469+00:00
0.0,0.0,0.0,0.0,0.1,1000,2026-06-15T20:01:33.494927+00:00
1.0,16.932279849654808,0.0,10.977416555759085,0.1,1000,2026-06-15T20:01:33.494954+00:00
2.5,16.932279849654808,0.0,10.977416555759085,0.1,1000,2026-06-15T20:01:33.494962+00:00
5.0,16.932279849654808,0.0,10.977416555759085,0.1,1000,2026-06-15T20:01:33.494970+00:00
10.0,16.932279849654808,0.0,10.977416555759085,0.1,1000,2026-06-15T20:01:33.494976+00:00
15.0,16.932279849654808,0.0,10.977416555759085,0.1,1000,2026-06-15T20:01:33.494982+00:00
20.0,16.932279849654808,0.0,10.977416555759085,0.1,1000,2026-06-15T20:01:33.494987+00:00
25.0,16.932279849654808,0.0,10.977416555759085,0.1,1000,2026-06-15T20:01:33.495009+00:00
0.0,0.0,0.0,0.0,0.1,1000,2026-06-16T20:01:41.039395+00:00
1.0,6.481990328881744,4.596969661020998,4.596388218491427,0.1,1000,2026-06-16T20:01:41.039422+00:00
2.5,7.385702848911649,11.492424152552507,5.29926140027932,0.1,1000,2026-06-16T20:01:41.039430+00:00
5.0,7.385702848911649,22.984848305105015,5.29926140027932,0.1,1000,2026-06-16T20:01:41.039436+00:00
10.0,7.385702848911649,45.96969661021003,5.29926140027932,0.1,1000,2026-06-16T20:01:41.039442+00:00
15.0,7.385702848911649,68.95454491531504,5.29926140027932,0.1,1000,2026-06-16T20:01:41.039448+00:00
20.0,7.385702848911649,91.81697328624777,5.29926140027932,0.1,1000,2026-06-16T20:01:41.039455+00:00
25.0,7.385702848911649,91.81697328624777,5.29926140027932,0.1,1000,2026-06-16T20:01:41.039472+00:00
0.0,0.0,0.0,0.0,0.1,1000,2026-06-17T20:01:39.713988+00:00
1.0,31.10761828586278,18.584103594155014,20.106971207096734,0.1,1000,2026-06-17T20:01:39.714012+00:00
2.5,66.55450831457085,46.46025898538751,43.273000105227375,0.1,1000,2026-06-17T20:01:39.714020+00:00
5.0,67.83773243832766,90.0041349683595,63.23124050207327,0.1,1000,2026-06-17T20:01:39.714026+00:00
10.0,67.83773243832766,90.0041349683595,63.23124050207327,0.1,1000,2026-06-17T20:01:39.714032+00:00
15.0,67.83773243832766,90.0041349683595,63.23124050207327,0.1,1000,2026-06-17T20:01:39.714039+00:00
20.0,67.83773243832766,90.0041349683595,63.23124050207327,0.1,1000,2026-06-17T20:01:39.714045+00:00
25.0,67.83773243832766,90.0041349683595,63.23124050207327,0.1,1000,2026-06-17T20:01:39.714061+00:00
0.0,0.0,0.0,0.0,0.1,1000,2026-06-18T20:01:24.132850+00:00
1.0,1.9843240976776533,0.5763654820219898,1.2755172242283308,0.1,1000,2026-06-18T20:01:24.132875+00:00
2.5,3.6521510451109123,1.4409137050549674,2.346827048213079,0.1,1000,2026-06-18T20:01:24.132882+00:00
5.0,3.6521510451109123,2.881827410109935,2.346827048213079,0.1,1000,2026-06-18T20:01:24.132888+00:00
10.0,3.6521510451109123,5.763654820219855,2.346827048213079,0.1,1000,2026-06-18T20:01:24.132894+00:00
15.0,3.6521510451109123,8.64548223032979,2.346827048213079,0.1,1000,2026-06-18T20:01:24.132900+00:00
20.0,3.6521510451109123,11.52730964043971,2.346827048213079,0.1,1000,2026-06-18T20:01:24.132906+00:00
25.0,3.6521510451109123,14.409137050549644,2.346827048213079,0.1,1000,2026-06-18T20:01:24.132922+00:00
0.0,0.0,0.0,0.0,0.1,1000,2026-06-19T20:01:19.848462+00:00
1.0,10.560681462291246,6.247429671399764,5.185101814666282,0.1,1000,2026-06-19T20:01:19.848487+00:00
2.5,10.560681462291246,15.618574178499397,5.185101814666282,0.1,1000,2026-06-19T20:01:19.848495+00:00
5.0,10.560681462291246,31.237148356998805,5.185101814666282,0.1,1000,2026-06-19T20:01:19.848502+00:00
10.0,10.560681462291246,62.4742967139976,5.185101814666282,0.1,1000,2026-06-19T20:01:19.848508+00:00
15.0,10.560681462291246,91.44199634474985,5.185101814666282,0.1,1000,2026-06-19T20:01:19.848514+00:00
20.0,10.560681462291246,91.44199634474985,5.185101814666282,0.1,1000,2026-06-19T20:01:19.848520+00:00
25.0,10.560681462291246,91.44199634474985,5.185101814666282,0.1,1000,2026-06-19T20:01:19.848536+00:00
0.0,0.0,0.0,0.0,0.1,1000,2026-06-20T20:01:25.997363+00:00
1.0,0.0,19.49440582683514,0.0,0.1,1000,2026-06-20T20:01:25.997392+00:00
2.5,0.0,48.73601456708786,0.0,0.1,1000,2026-06-20T20:01:25.997400+00:00
5.0,68.69949228949233,91.77983317584302,65.45266369940808,0.1,1000,2026-06-20T20:01:25.997407+00:00
10.0,68.69949228949233,91.77983317584302,65.45266369940808,0.1,1000,2026-06-20T20:01:25.997413+00:00
